IA,5,0.4,0.2,0.4,0,0,0,0.0,0.0,0.0,0,0,A
KS,5,0.2,0.4,0.2,0,0,0,0.0,0.0,0.0,0,0,B
KT,4,0.3,0.3,0.5,0,0,0,0.0,0.0,0.0,0,0,T
LA,28,0.0,0.857,0.143,0,0,0,0.0,0.0,0.0,0,0,B
ME,1,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,B
MD,15,0.4,0.467,0.133,0,0,0,0.0,0.0,0.0,0,0,A
MI,36,0.083,0.389,0.528,0,0,0,0.0,0.0,0.0,0,0,C
MN,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,B
MS,32,0.188,0.5,0.313,0,0,0,0.0,0.0,0.0,0,0,B
MO,49,0.0,0.9,0.1,0,1,0,0.0,0.0,0.0,0,0,B
MT,4,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,C
NE,21,0.333,0.476,0.2,0,0,0,0.0,0.0,0.0,0,0,T
NV,8,0.0,0.286,0.714,0,0,1,0.0,0.0,0.0,0,0,C
